,unmasked_text,masked_text,phone_number,target
1311,"Our mathematics program at Tremblay, Homenick and Larkin is starting a new course on 4th March. If Paul Walsh is interested, please reply to this email at Faustino_Kozey44@hotmail.com with 6329.520 0571 for further communication.","Our mathematics program at [COMPANYNAME_1] is starting a new course on [DATE_1]. If [FIRSTNAME_1] [LASTNAME_1] is interested, please reply to this email at [EMAIL_1] with [PHONENUMBER_1] for further communication.",6329.520 0571,TEL
1312,"Our online Positive Psychology course has a special discount for this month. Pay $28,315.26 and get full access to all the content at https://scary-stadium.biz/.Payment can be made through KW69BKDC2Y2077653891F1Z154MOK6. Feel free to contact me on 00523.891540 if you have any questions.",Our online Positive Psychology course has a special discount for this month. Pay [CURRENCYSYMBOL_1][AMOUNT_1] and get full access to all the content at [URL_1].Payment can be made through [IBAN_1]. Feel free to contact me on [PHONENUMBER_1] if you have any questions.,00523.891540,O
1313,"05/06/1979: Mrs. Schimmel, your test results are out. You can view them by signing in to your account at https://complex-minister.com/. Our agent will contact you shortly at +078.895 542 9845 to discuss the findings.","[DATE_1]: [PREFIX_1] [LASTNAME_1], your test results are out. You can view them by signing in to your account at [URL_1]. Our agent will contact you shortly at [PHONENUMBER_1] to discuss the findings.",+078.895 542 9845,O
1314,"26th February based player profiling and mental skill development protocol will be implemented. For additional communication, 9936-369 9116 or Kiana.Boyer@hotmail.com can be used.","[DOB_1] based player profiling and mental skill development protocol will be implemented. For additional communication, [PHONENUMBER_1] or [EMAIL_1] can be used.",9936-369 9116,TEL
1315,"The Northwest team is organizing this year's outdoor education camp at [15.8426,20.0419]. If you have any queries, please contact (651)-3454008.","The [ORDINALDIRECTION_1] team is organizing this year's outdoor education camp at [NEARBYGPSCOORDINATE_1]. If you have any queries, please contact [PHONENUMBER_1].",(651)-3454008,O
1316,"Psycho-oncology in Palm Springs is changing. Join Mr. Samson Cummings on 11/46 at 5542 Rau Ridge, Suite 405, Novi to understand these advancements. Please, confirm your attendance via (69) 6660-6982.","Psycho-oncology in [CITY_1] is changing. Join [PREFIX_1] [FIRSTNAME_1] [LASTNAME_1] on [DATE_1] at [BUILDINGNUMBER_1] [STREET_1], [SECONDARYADDRESS_1], [CITY_2] to understand these advancements. Please, confirm your attendance via [PHONENUMBER_1].",(69) 6660-6982,O
1317,"Dear Mrs. Abbie, your expertise is greatly needed for the mentorship program. Please contact us via 080-5992.2570.","Dear [PREFIX_1] [FIRSTNAME_1], your expertise is greatly needed for the mentorship program. Please contact us via [PHONENUMBER_1].",080-5992.2570,O
1318,Dante_Blick missed the quiz today without informing me or providing a valid reason. I have reached out to his parents via +912 193 244.7589. I think further action may be required if this continues.,[USERNAME_1] missed the quiz today without informing me or providing a valid reason. I have reached out to his parents via [PHONENUMBER_1]. I think further action may be required if this continues.,+912 193 244.7589,O
1319,"Dear Parent, cutting and sticking task has been set for Dora in her Occupational Therapy session tomorrow. We'll focus on enhancing her motor skills. Please confirm her attendance by calling the school on 02012.492935. Your support is vital for her progress.","Dear Parent, cutting and sticking task has been set for [FIRSTNAME_1] in her Occupational Therapy session tomorrow. We'll focus on enhancing her motor skills. Please confirm her attendance by calling the school on [PHONENUMBER_1]. Your support is vital for her progress.",02012.492935,O
1320,"We're hosting a gardening workshop and would be glad if Adrianna is part of it. For more info, please call at 071 2056 5267.","We're hosting a gardening workshop and would be glad if [FIRSTNAME_1] is part of it. For more info, please call at [PHONENUMBER_1].",071 2056 5267,O
1321,"Dear Josephine, Dr. Gleason has requested a follow-up appointment to discuss your endocrine test results. Please reply to this message or call our office at +99-284 318-6483 to confirm your appointment date and time.","Dear [FIRSTNAME_1], Dr. [LASTNAME_1] has requested a follow-up appointment to discuss your endocrine test results. Please reply to this message or call our office at [PHONENUMBER_1] to confirm your appointment date and time.",+99-284 318-6483,TEL
1322,"""Remember to renew your book loans through the online portal to avoid overdue fines. Call our Calabria library staff on 059.028.7703 with any issues.""","""Remember to renew your book loans through the online portal to avoid overdue fines. Call our [STATE_1] library staff on [PHONENUMBER_1] with any issues.""",059.028.7703,TEL
1323,"Here's d new pricing model we discussed, Alaina.  Remember price for Response area and apply 71.57k ﷼ discount for Auto Loan Account users. Call me at 08-55 44-33 40 if got issues.","Here's d new pricing model we discussed, [FIRSTNAME_1].  Remember price for [JOBAREA_1] area and apply [AMOUNT_1] [CURRENCYSYMBOL_1] discount for [ACCOUNTNAME_1] users. Call me at [PHONENUMBER_1] if got issues.",08-55 44-33 40,O
1324,"Hello Multigender, The amount of ₫0929176133507668 has been successfully credited to your account TR926558830090097350044004. Please contact us at (90).3661.8271 for any inquiries.","Hello [GENDER_1], The amount of [CURRENCYSYMBOL_1][MASKEDNUMBER_1] has been successfully credited to your account [IBAN_1]. Please contact us at [PHONENUMBER_1] for any inquiries.",(90).3661.8271,O
1325,"""The school library would love to hear from you, Central Intranet Technician. We're seeking professionals to mentor students in California this coming semester. Please call us at 07 9822-7149.""","""The school library would love to hear from you, [JOBTITLE_1]. We're seeking professionals to mentor students in [STATE_1] this coming semester. Please call us at [PHONENUMBER_1].""",07 9822-7149,O
1326,"Seen our Pourosfield market analysis, Ms. Skyla? Do share your opinions - call 011.540-1009.","Seen our [CITY_1] market analysis, [PREFIX_1] [FIRSTNAME_1]? Do share your opinions - call [PHONENUMBER_1].",011.540-1009,O
1327,"Defendant Paxton Crist, of 58920 Elm Road, is set to appear in court on 11/03/1911 for charges related to a hit and run incident involving a LM04SCI. Contact can be made at 075 1357.8952.","Defendant [FIRSTNAME_1] [LASTNAME_1], of [BUILDINGNUMBER_1] [STREET_1], is set to appear in court on [DATE_1] for charges related to a hit and run incident involving a [VEHICLEVRM_1]. Contact can be made at [PHONENUMBER_1].",075 1357.8952,O
1328,"Had meeting with Boris about analytics insights for Dooley, Rogahn and Morar. Contact them at 078.359 7327 for details.",Had meeting with [FIRSTNAME_1] about analytics insights for [COMPANYNAME_1]. Contact them at [PHONENUMBER_1] for details.,078.359 7327,O
1329,"Northumberland residents are requested to use their 324 82 2170 for vaccination registration. For any assistance, call 05843-76140.","[COUNTY_1] residents are requested to use their [SSN_1] for vaccination registration. For any assistance, call [PHONENUMBER_1].",05843-76140,O
1330,"Before downloading an app or game, check user reviews. Don't download if comments mention personal data leaks like 68-106929-965654-7 or (427).5145181.","Before downloading an app or game, check user reviews. Don't download if comments mention personal data leaks like [PHONEIMEI_1] or [PHONENUMBER_1].",(427).5145181,O
1331,"Dear Intersex woman, Your funding request has been approved. You can access the funds via card 1654479344127506. Call us on +754-560-108-9783 if you need any assistance.","Dear [GENDER_1], Your funding request has been approved. You can access the funds via card [CREDITCARDNUMBER_1]. Call us on [PHONENUMBER_1] if you need any assistance.",+754-560-108-9783,O
1332,"Hegmann Group is hereby summoned to appear in the Louisiana county court over a litigation matter concerning Meagan Heathcote. An alleged infringement on 79.57.192.103 and f9b8:986a:b15a:3c5a:f4fc:ca2a:7090:a020 was reported. For further enquiries, contact us at +063.82-765 0122.","[COMPANYNAME_1] is hereby summoned to appear in the [STATE_1] county court over a litigation matter concerning [FIRSTNAME_1] [LASTNAME_1]. An alleged infringement on [IPV4_1] and [IPV6_1] was reported. For further enquiries, contact us at [PHONENUMBER_1].",+063.82-765 0122,O
1333,"I'm Rylee Bahringer, a Special Education alumna from Pagac, Wolf and Mraz seeking career opportunities. Reach me on 09942 98124.","I'm [FIRSTNAME_1] [LASTNAME_1], a Special Education alumna from [COMPANYNAME_1] seeking career opportunities. Reach me on [PHONENUMBER_1].",09942 98124,TEL
1334,"If you need any more information about our Social Responsibility Program, don't hesitate to drop me an email at Aditya_Johnston98@hotmail.com or give me a call at 040-5276599. Keely Lehner","If you need any more information about our Social Responsibility Program, don't hesitate to drop me an email at [EMAIL_1] or give me a call at [PHONENUMBER_1]. [FIRSTNAME_1] [LASTNAME_1]",040-5276599,O
1335,"The project's Supervisor should fill out their updated timesheets in the system by 22. Any delays should be reported to Lead Intranet Facilitator. Please continue to follow the set schedules. If any issues, contact me on 041.942 7007.","The project's [JOBTYPE_1] should fill out their updated timesheets in the system by [TIME_1]. Any delays should be reported to [JOBTITLE_1]. Please continue to follow the set schedules. If any issues, contact me on [PHONENUMBER_1].",041.942 7007,O
1336,"Parent London, 002-746 5115 has issues with homeschooling module. Complained through Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/4.0; .NET CLR 2.7.88628.2).","Parent [MIDDLENAME_1], [PHONENUMBER_1] has issues with homeschooling module. Complained through [USERAGENT_1].",002-746 5115,O
1337,"Despite the University's state of the art facilities, our exchange program with Monahan, Pfeffer and Von flaunts our students' interests in the Security. For more information, you can reach out on 09379 346235.","Despite the University's state of the art facilities, our exchange program with [COMPANYNAME_1] flaunts our students' interests in the [JOBAREA_1]. For more information, you can reach out on [PHONENUMBER_1].",09379 346235,O
1338,"Dear Anthony, your prescription is ready to be picked up. Please visit our pharmacy at Kutch Divide, West Mark. If you have any questions, call us at +553.756 356-2331.","Dear [FIRSTNAME_1], your prescription is ready to be picked up. Please visit our pharmacy at [STREET_1], [CITY_1]. If you have any questions, call us at [PHONENUMBER_1].",+553.756 356-2331,O
1339,Jorge20 was absent from school today without any prior notice or reasons provided. I've reached out to his parents at 7076-717 7251 for clarification.,[USERNAME_1] was absent from school today without any prior notice or reasons provided. I've reached out to his parents at [PHONENUMBER_1] for clarification.,7076-717 7251,TEL
1340,"Dear Dario, we've received a request to change your Auto Loan Account at Legacy Brand Producer password. The request was made from a0cc:ffa4:fdab:78fc:fcb5:a29d:f90a:84e5. If this was not you, please immediately update your password again and text us at +525.232 018 2508.","Dear [FIRSTNAME_1], we've received a request to change your [ACCOUNTNAME_1] at [JOBTITLE_1] password. The request was made from [IPV6_1]. If this was not you, please immediately update your password again and text us at [PHONENUMBER_1].",+525.232 018 2508,O
1341,"Dear team, with Eden, our Central Tactics Facilitator, we are introducing new change management strategies at Cormier - Orn. For further details, please contact Milton at +157.560-307-1251.","Dear team, with [FIRSTNAME_1], our [JOBTITLE_1], we are introducing new change management strategies at [COMPANYNAME_1]. For further details, please contact [FIRSTNAME_2] at [PHONENUMBER_1].",+157.560-307-1251,O
1342,"Join our Literacy Program! Enroll now and pay via digital currency (Bitcoin: 3QB4dBCniCpmSHMHQeiGfNBWJoHfpg11GwiS, Ethereum: 0xafd349e008440eb2460b96891ec7c2ac86a0c1aa). For directions, please navigate to the GPS coordinate [-16.0994,-171.972]. Call us at +46.290.270 1671 for more.","Join our Literacy Program! Enroll now and pay via digital currency (Bitcoin: [BITCOINADDRESS_1], Ethereum: [ETHEREUMADDRESS_1]). For directions, please navigate to the GPS coordinate [NEARBYGPSCOORDINATE_1]. Call us at [PHONENUMBER_1] for more.",+46.290.270 1671,TEL
1343,"Incident report filled for incident at 26/02/1989. Any clarifications, reach Bennie.Bergnaum at 0656 75243819.","Incident report filled for incident at [DATE_1]. Any clarifications, reach [USERNAME_1] at [PHONENUMBER_1].",0656 75243819,O
1344,"To Ms. Ebert, a transaction for amount $757k for your health insurance policy was made from your Investment Account account 19001688. Feel free to call us at 00-80-03 21.29 if issues arise.","To [PREFIX_1] [LASTNAME_1], a transaction for amount [CURRENCYSYMBOL_1][AMOUNT_1] for your health insurance policy was made from your [ACCOUNTNAME_1] account [ACCOUNTNUMBER_1]. Feel free to call us at [PHONENUMBER_1] if issues arise.",00-80-03 21.29,O
1345,"Hello, Can I get an appointment for my family. Kindly respond to my work email Audra.Altenwerth76@gmail.com or call me at +99 333-277 6949.","Hello, Can I get an appointment for my family. Kindly respond to my work email [EMAIL_1] or call me at [PHONENUMBER_1].",+99 333-277 6949,TEL
1346,"To: 06549-146451, you'd need to receive a package for our new diagnostic device. Building address: 6864. Use the passcode 9630 at the security entrance.","To: [PHONENUMBER_1], you'd need to receive a package for our new diagnostic device. Building address: [BUILDINGNUMBER_1]. Use the passcode [PIN_1] at the security entrance.",06549-146451,O
1347,"For contract proceedings, please login at https://humble-view.com/ with the username Don.Monahan89 and password wXO8laqeCCoJ. If facing issues, immediately contact 032-811-1310.","For contract proceedings, please login at [URL_1] with the username [USERNAME_1] and password [PASSWORD_1]. If facing issues, immediately contact [PHONENUMBER_1].",032-811-1310,TEL
1348,"Dear Mrs., let's have a phone meeting to discuss stakeholder communications. Can you please call me at 00257 22522?","Dear [PREFIX_1], let's have a phone meeting to discuss stakeholder communications. Can you please call me at [PHONENUMBER_1]?",00257 22522,TEL
1349,Reviewing tax laws for account Personal Loan Account (number 72882681). Transactions in Lari are also to be examined. Get back to me at +85.75.474.7670 today.,Reviewing tax laws for account [ACCOUNTNAME_1] (number [ACCOUNTNUMBER_1]). Transactions in [CURRENCYNAME_1] are also to be examined. Get back to me at [PHONENUMBER_1] today.,+85.75.474.7670,O
1350,"Coming to attention, Kale Angel Shanahan is assigned National Communications Orchestrator related to litigation for Hane Inc. Contact Fausto_Schmitt83@hotmail.com and +345 965-579.9512.","Coming to attention, [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1] is assigned [JOBTITLE_1] related to litigation for [COMPANYNAME_1]. Contact [EMAIL_1] and [PHONENUMBER_1].",+345 965-579.9512,O
1351,"Harper, our security flagged franchise account 22458131 with IP abab:1cfe:ebff:c0ce:b4ae:b13a:eada:2dbd. Verification through 02.90 66-52 81 required.","[MIDDLENAME_1], our security flagged franchise account [ACCOUNTNUMBER_1] with IP [IPV6_1]. Verification through [PHONENUMBER_1] required.",02.90 66-52 81,O
1352,"Minutes of QA meeting on 8 AM are available. All team members to access QA database using secure code pm1_W3elhSQs and log in details. For any issues, contact QA Lead Mr. Shiloh at 07.13.05 61-76 or email her through the secure URL https://empty-idea.biz/.","Minutes of QA meeting on [TIME_1] are available. All team members to access QA database using secure code [PASSWORD_1] and log in details. For any issues, contact QA Lead [PREFIX_1] [MIDDLENAME_1] at [PHONENUMBER_1] or email her through the secure URL [URL_1].",07.13.05 61-76,O
1353,"We opened our new franchise branch in Ornworth. For branch details or franchise opportunities, visit https://jittery-essential.info/ or contact us at 02976.08233.","We opened our new franchise branch in [CITY_1]. For branch details or franchise opportunities, visit [URL_1] or contact us at [PHONENUMBER_1].",02976.08233,O
1354,We got a revisit from Marie of Hancock County interested in law career. She'll contact you on +150.00.649.4906.,We got a revisit from [FIRSTNAME_1] of [COUNTY_1] interested in law career. She'll contact you on [PHONENUMBER_1].,+150.00.649.4906,O
1355,"Stumbled upon vital endocrine data focusing on Trans of about 98 years. To discuss in detail, please dial 07.95-92.46 28.","Stumbled upon vital endocrine data focusing on [GENDER_1] of about [AGE_1]. To discuss in detail, please dial [PHONENUMBER_1].",07.95-92.46 28,O
1356,"Dear parents, students exhibiting good behavior can earn rewards redeemable through account number 69747536. Call us at 01317.363591 to know more.","Dear parents, students exhibiting good behavior can earn rewards redeemable through account number [ACCOUNTNUMBER_1]. Call us at [PHONENUMBER_1] to know more.",01317.363591,O
1357,Adaptive leadership has been pivotal in schools around 28384. The variety in leadership styles was evident in +68 646.555.4523.,Adaptive leadership has been pivotal in schools around [ZIPCODE_1]. The variety in leadership styles was evident in [PHONENUMBER_1].,+68 646.555.4523,TEL
1358,"Dear Mr. Kassulke, attached is your treatment schedule in relation to Humanistic Therapy. If you have any questions, please contact us at +94.068-856-2453. For any further information, refer to our website at https://old-fashioned-peacock.com.","Dear [PREFIX_1] [LASTNAME_1], attached is your treatment schedule in relation to Humanistic Therapy. If you have any questions, please contact us at [PHONENUMBER_1]. For any further information, refer to our website at [URL_1].",+94.068-856-2453,TEL
1359,"Dear Mrs. Sasha, We plan to commence a group session for our patients in psycho-oncology unit at Lancashire healthcare center. Please let us know of your availability by contacting us at (169) 0520665 before 24th June quarter to 8.","Dear [PREFIX_1] [MIDDLENAME_1], We plan to commence a group session for our patients in psycho-oncology unit at [COUNTY_1] healthcare center. Please let us know of your availability by contacting us at [PHONENUMBER_1] before [DATE_1] [TIME_1].",(169) 0520665,O
1360,Trainings on assistive tech to begin on 2022-12-20T20:39:34.632Z. Enroll via Christa_Borer16@hotmail.com or call on +786-44 568.2865.,Trainings on assistive tech to begin on [DATE_1]. Enroll via [EMAIL_1] or call on [PHONENUMBER_1].,+786-44 568.2865,O
1361,"Exciting news! We've planned a field trip to Gleason Harbors Park, packed with learning opportunities in an outdoor setting. The fee can be sent to our Litecoin address: 3ZVJvwXbYPcnQdDcJkcDcverHJTwCkCr. Any questions, please ring us at +271 70.540 8421.","Exciting news! We've planned a field trip to [STREET_1] Park, packed with learning opportunities in an outdoor setting. The fee can be sent to our Litecoin address: [LITECOINADDRESS_1]. Any questions, please ring us at [PHONENUMBER_1].",+271 70.540 8421,O
1362,"The next consultation will be held at 6089, Stanley Street, Morarchester on 4th March. Romaine, a 15 old participant, will be attending the session. Please contact her through +30-942 868.6877 or Herta_Torphy@yahoo.com.","The next consultation will be held at [BUILDINGNUMBER_1], [STREET_1], [CITY_1] on [DATE_1]. [FIRSTNAME_1], a [AGE_1] old participant, will be attending the session. Please contact her through [PHONENUMBER_1] or [EMAIL_1].",+30-942 868.6877,TEL
1363,"Urgent notice: Stanton, Pfeffer and Schinner has detected irregular activities on Stephanie27's account. Our analytics flagged 0.239.188.37 and 09bc:d9b0:f4d2:bffb:dc3b:389e:d484:cf24 as the source. Please respond to this email, Therese_Russel@hotmail.com, or call us at 042-581.1770 as soon as possible for a resolution.","Urgent notice: [COMPANYNAME_1] has detected irregular activities on [USERNAME_1]'s account. Our analytics flagged [IPV4_1] and [IPV6_1] as the source. Please respond to this email, [EMAIL_1], or call us at [PHONENUMBER_1] as soon as possible for a resolution.",042-581.1770,O
1364,"Hello, Keegan. We have encountered an issue with the diagnostic device assigned to you. Could you please provide your contact 03-56 00.60-57 and verify the last four digits of your SSN 75657338309 for identification purposes?","Hello, [FIRSTNAME_1]. We have encountered an issue with the diagnostic device assigned to you. Could you please provide your contact [PHONENUMBER_1] and verify the last four digits of your SSN [SSN_1] for identification purposes?",03-56 00.60-57,O
1365,"Hello Alicia, In accordance to recent changes in the tax law, your bank account at Credit Card Account will be affected. Can I call you at 06955 862743 to further explain this?","Hello [FIRSTNAME_1], In accordance to recent changes in the tax law, your bank account at [ACCOUNTNAME_1] will be affected. Can I call you at [PHONENUMBER_1] to further explain this?",06955 862743,O
1366,"Your book request for the library has been processed. A confirmation has been sent to your Kenny27@yahoo.com. Should you need any further assistance, reach us at 069.7711.6928.","Your book request for the library has been processed. A confirmation has been sent to your [EMAIL_1]. Should you need any further assistance, reach us at [PHONENUMBER_1].",069.7711.6928,O
1367,"Endocrine studies on people of 99 brought us fresh insights, particularly for Female to male. Call 01-0450-4427 to discuss.","Endocrine studies on people of [AGE_1] brought us fresh insights, particularly for [GENDER_1]. Call [PHONENUMBER_1] to discuss.",01-0450-4427,O
1368,"My internet at Schroeder Highway, Emiestad is unstable. Do you offer phone counseling? My number is +258-415-972 7496","My internet at [STREET_1], [CITY_1] is unstable. Do you offer phone counseling? My number is [PHONENUMBER_1]",+258-415-972 7496,O
1369,Notice of a claim filed by Eric Noah for injuries sustained on 10/15 from an accident. The accident was caused by a vehicle OA72KNW. Please reach out at 5467.709 9794 for more details.,Notice of a claim filed by [FIRSTNAME_1] [MIDDLENAME_1] for injuries sustained on [DATE_1] from an accident. The accident was caused by a vehicle [VEHICLEVRM_1]. Please reach out at [PHONENUMBER_1] for more details.,5467.709 9794,TEL
1370,"Get ready for our field trip to see dinosaurs at Kentucky's Paleontology Museum! Pack a lunch, water, and make sure to wear comfortable walking shoes. We'll use the school bus ZA58WBA for transportation. 08.8206 8955 for queries.","Get ready for our field trip to see dinosaurs at [STATE_1]'s Paleontology Museum! Pack a lunch, water, and make sure to wear comfortable walking shoes. We'll use the school bus [VEHICLEVRM_1] for transportation. [PHONENUMBER_1] for queries.",08.8206 8955,O
1371,Scheduling an appointment with our Male dentist can be done through our web portal. Do not hesitate to contact us at +894-17.205.4101 for any inquiries.,Scheduling an appointment with our [SEX_1] dentist can be done through our web portal. Do not hesitate to contact us at [PHONENUMBER_1] for any inquiries.,+894-17.205.4101,O
1372,"Dear Twila Schaden, a crisis has been reported at 536 Renner Harbors. We believe your property is affected. Kindly call (412)-8430317 or respond to Alan.Friesen9@hotmail.com to avoid further complications.","Dear [FIRSTNAME_1] [LASTNAME_1], a crisis has been reported at [BUILDINGNUMBER_1] [STREET_1]. We believe your property is affected. Kindly call [PHONENUMBER_1] or respond to [EMAIL_1] to avoid further complications.",(412)-8430317,O
1373,"Arden, it's been observed that your device with MAC 7c:03:a9:fa:9e:df and IMEI 61-118429-377351-4 has tried logging into your Legal Education account. If not you, please contact us at (77).4573.4375.","[MIDDLENAME_1], it's been observed that your device with MAC [MAC_1] and IMEI [PHONEIMEI_1] has tried logging into your Legal Education account. If not you, please contact us at [PHONENUMBER_1].",(77).4573.4375,O
1374,"Estelle, could you guide me on this web project? Let's connect over a call. My number is 5607 341-2596.","[FIRSTNAME_1], could you guide me on this web project? Let's connect over a call. My number is [PHONENUMBER_1].",5607 341-2596,TEL
1375,"We're in need of more paint for our art classes. If you want to make a donation, please contact me, Hunter Bauch, at (36)-6419.1293. Your help would be greatly appreciated!","We're in need of more paint for our art classes. If you want to make a donation, please contact me, [FIRSTNAME_1] [LASTNAME_1], at [PHONENUMBER_1]. Your help would be greatly appreciated!",(36)-6419.1293,O
1376,"Hello, Wyman_Pollich51. We noticed logging attempts from an unfamiliar user-agent: Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_9)  AppleWebKit/535.0.1 (KHTML, like Gecko) Chrome/34.0.867.0 Safari/535.0.1. We recommend changing pfZWgf2NHKis concerning Personal Loan Account to prevent potential breaches immediately. Communicate at Stevie_Ortiz-Bradtke@yahoo.com or 0888-03188726.","Hello, [USERNAME_1]. We noticed logging attempts from an unfamiliar user-agent: [USERAGENT_1]. We recommend changing [PASSWORD_1] concerning [ACCOUNTNAME_1] to prevent potential breaches immediately. Communicate at [EMAIL_1] or [PHONENUMBER_1].",0888-03188726,O
1377,"Classroom management plan for Investment Account, needed by 12th August. Use 45.185.45.199, 3ifseZaeCehqvMQeSAY5bCYkbZ, 294 38 7409 to secure documents. 83030-8533 must be updated. Revised plan sent to 0859 01263294. Contact Male parent for approval. Apt. 643 for reference.","Classroom management plan for [ACCOUNTNAME_1], needed by [DOB_1]. Use [IPV4_1], [BITCOINADDRESS_1], [SSN_1] to secure documents. [ZIPCODE_1] must be updated. Revised plan sent to [PHONENUMBER_1]. Contact [SEX_1] parent for approval. [SECONDARYADDRESS_1] for reference.",0859 01263294,O
1378,"Scheduled therapy sessions for Miss Sauer are stored securely. Next one marked for 06/12/1998 at 16:12. In case you cannot attend, please let us know via email at Noah.Gleichner61@hotmail.com or use following contact number 071-4187.3776.","Scheduled therapy sessions for [PREFIX_1] [LASTNAME_1] are stored securely. Next one marked for [DATE_1] at [TIME_1]. In case you cannot attend, please let us know via email at [EMAIL_1] or use following contact number [PHONENUMBER_1].",071-4187.3776,O
1379,"Hello Cleve, we were trying to reach you regarding the sustainable web practices presentation scheduled for 1/23. Kindly confirm your availability on 0243-00543716.","Hello [FIRSTNAME_1], we were trying to reach you regarding the sustainable web practices presentation scheduled for [DATE_1]. Kindly confirm your availability on [PHONENUMBER_1].",0243-00543716,O
1380,"Parents please be informed, on 26/09/1991, Herefordshire Early Childhood Education Centre will be closed due to maintenance. For questions, contact 050-1814.5727.","Parents please be informed, on [DATE_1], [COUNTY_1] Early Childhood Education Centre will be closed due to maintenance. For questions, contact [PHONENUMBER_1].",050-1814.5727,O
1381,Your Legal Education Scholarship Application has been accepted. Deposit the scholarship fee ﷼0.00b to our Home Loan Account Account Number 24508907. Contact +24.39 054 0346 for queries.,Your Legal Education Scholarship Application has been accepted. Deposit the scholarship fee [CURRENCYSYMBOL_1][AMOUNT_1] to our [ACCOUNTNAME_1] Account Number [ACCOUNTNUMBER_1]. Contact [PHONENUMBER_1] for queries.,+24.39 054 0346,O
1382,Wire transfer to account VG16068D0300114534860060 in process. Please confirm if Leone will be accepted. The amount is ₴0.586m. Contact +714 502-141.5532 for questions.,Wire transfer to account [IBAN_1] in process. Please confirm if [CURRENCYNAME_1] will be accepted. The amount is [CURRENCYSYMBOL_1][AMOUNT_1]. Contact [PHONENUMBER_1] for questions.,+714 502-141.5532,O
1383,"Due to recent issues, our internet security policy has changed. Connect using 1cc9:feec:c521:cfde:ac7a:ea60:14ef:018a. For any problems, email Anissa_Konopelski36@yahoo.com or call at 02-75-41 37 29.","Due to recent issues, our internet security policy has changed. Connect using [IPV6_1]. For any problems, email [EMAIL_1] or call at [PHONENUMBER_1].",02-75-41 37 29,O
1384,"Hello Mr. Greenfelder,
The Configuration team is interested in launching a new campaign focused on growing our presence in Lubbock. From our research, your work in the area of online branding has been quite impressive. We are interested in engaging your services for this project. Kindly reply by email to Beaulah.Ankunding74@hotmail.com or 04994-546268.","Hello [PREFIX_1] [LASTNAME_1],
The [JOBAREA_1] team is interested in launching a new campaign focused on growing our presence in [CITY_1]. From our research, your work in the area of online branding has been quite impressive. We are interested in engaging your services for this project. Kindly reply by email to [EMAIL_1] or [PHONENUMBER_1].",04994-546268,O
1385,"Hi Luna, Could you please share your 012.7339003 and Joannie_Smith85@gmail.com? We would need it to update you on the preventive health programs.","Hi [FIRSTNAME_1], Could you please share your [PHONENUMBER_1] and [EMAIL_1]? We would need it to update you on the preventive health programs.",012.7339003,O
1386,"West Midlands Crisis Intervention Team is trying to contact Carmella Wolf at 40.78.248.245. You are not alone, contact us at 03 31-05 14 87.","[COUNTY_1] Crisis Intervention Team is trying to contact [FIRSTNAME_1] [LASTNAME_1] at [IPV4_1]. You are not alone, contact us at [PHONENUMBER_1].",03 31-05 14 87,O
1387,"Dear Mr. Hauck, based on the records we have, your Trigender child seems to be having some difficulty with certain subjects. We are willing to offer additional support. Kindly contact us on 06710-927817.","Dear [PREFIX_1] [LASTNAME_1], based on the records we have, your [GENDER_1] child seems to be having some difficulty with certain subjects. We are willing to offer additional support. Kindly contact us on [PHONENUMBER_1].",06710-927817,O
1388,"On 6/22 we will be exploring the Northwest. Dress appropriately, pack a lunch, and don't forget to bring your sense of adventure! For help, +44.25.261 7747 is available.","On [DOB_1] we will be exploring the [ORDINALDIRECTION_1]. Dress appropriately, pack a lunch, and don't forget to bring your sense of adventure! For help, [PHONENUMBER_1] is available.",+44.25.261 7747,O
1389,"Hello Derick, your Medical Training class in Anatomy has been rescheduled to a later date. If you have any questions, please call at 091 781-1187.","Hello [FIRSTNAME_1], your Medical Training class in Anatomy has been rescheduled to a later date. If you have any questions, please call at [PHONENUMBER_1].",091 781-1187,O
1390,Want to contribute to our panel discussion featuring speaker Lennie from Sicily Board of Education? Any volunteers can contact us at 009 566 1183.,Want to contribute to our panel discussion featuring speaker [FIRSTNAME_1] from [STATE_1] Board of Education? Any volunteers can contact us at [PHONENUMBER_1].,009 566 1183,TEL
1391,"Dear parents, we are excited to announce that we are flying to Veneto for our next outdoor education activity. Please refer the email sent on 10/13 for details, or reach us at 0932 05689296.","Dear parents, we are excited to announce that we are flying to [STATE_1] for our next outdoor education activity. Please refer the email sent on [DOB_1] for details, or reach us at [PHONENUMBER_1].",0932 05689296,O
1392,"Dear Dr. Funk, don't forget about the new homework policy going into effect on 26th February. This impacts your role as Chief Research Executive. Reach me at (82)-0209.5525 or Tyrell_Adams@hotmail.com.","Dear [PREFIX_1] [LASTNAME_1], don't forget about the new homework policy going into effect on [DATE_1]. This impacts your role as [JOBTITLE_1]. Reach me at [PHONENUMBER_1] or [EMAIL_1].",(82)-0209.5525,O
